location,city,state,startmonth,finishmonth,startdate,finishdate,year,lat,lon,tournament_link
st. johns river,welaka,florida,February,February,21,23,1979,29.4791378,-81.67146869999999,https://www.bassmaster.com/tournaments/florida-invitational-4
lake gaston,gasburg,virginia,April,April,25,27,1979,36.5669362,-77.8957473,https://www.bassmaster.com/tournaments/virginia-invitational-4
st. lawrence river,alexandria bay,new york,June,June,20,22,1979,44.3358836,-75.9177309,https://www.bassmaster.com/tournaments/new-york-invitational-1
west point lake,lanett,alabama,September,September,20,22,1978,32.86873910000001,-85.1904971,https://www.bassmaster.com/tournaments/1978-alabama-invitational
lake gaston,gasburg,virginia,March,March,22,24,1978,36.5669362,-77.8957473,https://www.bassmaster.com/tournaments/1978-virginia-invitational
mississippi river,burlington,iowa,August,August,6,6,2006,40.8076529,-91.1128901,https://www.bassmaster.com/tournaments/hawkeye-4-burlington-bo
ohio river,cincinnati,ohio,July,July,21,23,1982,39.1031182,-84.5120196,https://www.bassmaster.com/tournaments/bass-champs-invitation-0
lake gaston,south hill,virginia,March,March,26,26,2006,36.726532,-78.1288857,https://www.bassmaster.com/tournaments/capitol-1-south-hill-bo
beaver lake,springdale,arkansas,June,June,10,12,1992,36.18674420000001,-94.1288141,https://www.bassmaster.com/tournaments/1992-bassmaster-25th-anniversary
fort gibson lake,wagoner,oklahoma,September,September,6,8,2012,35.9595442,-95.36941159999999,https://www.bassmaster.com/tournaments/2012-bass-pro-shops-central-open-3
california delta waterway,bethel island,california,May,May,26,28,2005,38.0149216,-121.6405085,https://www.bassmaster.com/tournaments/western-open-1-0
lake okeechobee,clewiston,florida,March,March,24,26,1982,26.7542312,-80.93367529999999,https://www.bassmaster.com/tournaments/florida-invitational-7
table rock lake,branson,missouri,March,March,2,4,2017,36.6436731,-93.21851439999999,https://www.bassmaster.com/tournaments/2017-bass-pro-shops-central-open-1
sabine river,orange,texas,June,June,15,17,2017,30.0929879,-93.7365549,https://www.bassmaster.com/tournaments/2017-bass-pro-shops-central-open-2
st. johns river,palatka,florida,April,April,25,28,1984,29.6485801,-81.6375819,https://www.bassmaster.com/tournaments/1984-super-bass-iii
