location,city,state,startmonth,finishmonth,startdate,finishdate,year,lat,lon,tournament_link
oneida lake,syracuse,new york,September,September,22,24,2011,43.0481221,-76.14742439999999,https://www.bassmaster.com/tournaments/2011-bass-pro-shops-northern-open-3
kissimmee chain,polk county,florida,March,March,1,3,2007,27.8617347,-81.6911559,https://www.bassmaster.com/tournaments/2007-southern-open-1
lake amistad,del rio,texas,March,March,8,11,2007,29.3708857,-100.8958674,https://www.bassmaster.com/tournaments/2007-elite-series-battle-border
kissimmee chain of lakes,kissimmee,florida,September,September,13,16,2007,28.2919557,-81.40757099999999,https://www.bassmaster.com/tournaments/2007-elite-series-sunshine-showdown
lake eufaula,eufaula,alabama,November,November,2,4,2006,31.8912717,-85.1454876,https://www.bassmaster.com/tournaments/bassmaster-series-southeast-regional-bo
lake guntersville,guntersville,alabama,April,April,27,29,2007,34.3581473,-86.29470409999999,https://www.bassmaster.com/tournaments/2007-elite-series-southern-challenge
harris chain,leesburg,florida,September,September,10,10,2006,28.810823,-81.87785819999999,https://www.bassmaster.com/tournaments/cypress-4-leesburg-bo
clarks hill reservoir,columbia county,georgia,May,May,4,7,2006,33.5098514,-82.25832969999999,https://www.bassmaster.com/tournaments/2006-elite-series-pride-augusta
lake guntersville,guntersville,alabama,April,April,20,23,2006,34.3581473,-86.29470409999999,https://www.bassmaster.com/tournaments/2006-elite-series-southern-challenge
lake okeechobee,clewiston,florida,April,April,3,3,2005,26.7542312,-80.93367529999999,https://www.bassmaster.com/tournaments/bassmaster-series-florida-3-bo
santee cooper reservoir,manning,south carolina,March,April,30,2,2006,33.6951627,-80.2109134,https://www.bassmaster.com/tournaments/2006-elite-series-santee-cooper-showdown
lake tohopekaliga,kissimmee,florida,June,June,5,5,2005,28.2919557,-81.40757099999999,https://www.bassmaster.com/tournaments/bassmaster-series-florida-5-0
douglas lake,dandridge,tennessee,September,September,13,15,2018,36.0153693,-83.4148895,https://www.bassmaster.com/tournaments/2018-bass-pro-shops-eastern-open-4-douglas
beaver lake,springdale,arkansas,March,March,7,9,1973,36.18674420000001,-94.1288141,https://www.bassmaster.com/tournaments/1973-arkansas-invitational
kissimmee chain of lakes,kissimmee,florida,January,January,27,30,2005,28.2919557,-81.40757099999999,https://www.bassmaster.com/tournaments/2005-tour-1
lake neely henry,gadsden,alabama,May,May,8,11,1996,34.014264,-86.0066386,https://www.bassmaster.com/tournaments/1996-alabama-bassmaster-top-100
logan martin lake,pell city,alabama,May,May,16,18,2013,33.5862149,-86.2860888,https://www.bassmaster.com/tournaments/2013-bass-pro-shops-southern-open-3
lake amistad,del rio,texas,April,April,8,10,2010,29.3708857,-100.8958674,https://www.bassmaster.com/tournaments/2010-central-open-1
table rock lake,springfield,missouri,October,October,18,20,2018,37.2089572,-93.29229889999999,https://www.bassmaster.com/tournaments/bass-pro-shops-bassmaster-opens-championship
table rock lake,kimberling city,missouri,March,March,4,7,2004,36.6333962,-93.4168531,https://www.bassmaster.com/tournaments/2004-bassmaster-tour-4
lake champlain,plattsburgh,new york,August,August,2,4,2018,44.6994873,-73.4529124,https://www.bassmaster.com/tournaments/2018-bass-pro-shops-eastern-open-3-lake-champlain
lake seminole,bainbridge,georgia,October,October,22,24,2015,30.9037995,-84.57546990000002,https://www.bassmaster.com/tournaments/2015-bass-pro-shops-southern-open-3
james river,richmond,virginia,October,October,18,21,1995,37.5407246,-77.4360481,https://www.bassmaster.com/tournaments/1995-virginia-bassmaster-top-100
alabama river,prattville,alabama,April,April,16,18,2015,32.4640245,-86.4596966,https://www.bassmaster.com/tournaments/2015-bass-pro-shops-southern-open-2
lake tohopekaliga,kissimmee,florida,January,January,15,17,2015,28.2919557,-81.40757099999999,https://www.bassmaster.com/tournaments/2015-bass-pro-shops-southern-open-1
red river,shreveport,louisiana,June,June,3,5,2010,32.5251516,-93.7501789,https://www.bassmaster.com/tournaments/2010-central-open-2
neely henry lake,gadsden,alabama,March,March,26,28,2009,34.014264,-86.0066386,https://www.bassmaster.com/tournaments/2009-wbt-1
lake guntersville,guntersville,alabama,October,October,16,18,2008,34.3581473,-86.29470409999999,https://www.bassmaster.com/tournaments/2008-southern-open-3
toledo bend reservoir,many,louisiana,March,March,5,7,2009,31.5687848,-93.4840645,https://www.bassmaster.com/tournaments/2009-central-open-1
lake wheeler,decatur,alabama,April,May,30,2,2009,34.6059253,-86.9833417,https://www.bassmaster.com/tournaments/2009-southern-open-2
smith lake,jasper,alabama,May,May,13,15,2010,33.8312185,-87.2775053,https://www.bassmaster.com/tournaments/2010-southern-open-2
harris chain of lakes,tavares,florida,January,January,29,31,2009,28.8041579,-81.725632,https://www.bassmaster.com/tournaments/2009-southern-open-1
lake seminole,bainridge,georgia,October,October,7,9,2010,30.9037995,-84.57546990000002,https://www.bassmaster.com/tournaments/2010-southern-open-3
lake okeechobee,okeechobee,florida,November,December,29,1,2007,27.2439349,-80.82978279999999,https://www.bassmaster.com/tournaments/2007-elite-series-wild-card-qualifier
santee cooper,manning,south carolina,October,October,22,24,2009,33.6951627,-80.2109134,https://www.bassmaster.com/tournaments/2009-southern-open-3
sam rayburn reservoir,jasper,texas,August,August,13,13,2006,30.9201995,-93.9965759,https://www.bassmaster.com/tournaments/lone-star-se-tx-2-jasper-bo
clear lake,lakeport,california,March,April,29,1,2007,39.0429506,-122.9158293,https://www.bassmaster.com/tournaments/2007-elite-series-golden-state-shootout
white fish chain,cross lake,minnesota,July,July,16,16,2006,46.6594065,-94.1138727,https://www.bassmaster.com/tournaments/north-star-2-cross-lake-bo
kentucky lake,kentucky dam village,kentucky,June,June,22,24,2006,36.9982031,-88.2888936,https://www.bassmaster.com/tournaments/2006-northern-tour-1
lake minnetonka,excelsior,minnesota,September,September,17,17,2006,44.9032963,-93.5663455,https://www.bassmaster.com/tournaments/north-star-4-excelsior-bo
lake le homme dieu,alexandria,minnesota,June,June,4,4,2006,45.8848164,-95.3776663,https://www.bassmaster.com/tournaments/north-star-1-alexandria-bo
pokegama lake,grand rapids,minnesota,August,August,6,6,2006,47.2371658,-93.53021419999999,https://www.bassmaster.com/tournaments/north-star-3-grand-rapids-bo
ouachita river,west monroe,louisiana,November,November,2,4,2006,32.5184775,-92.14763529999999,https://www.bassmaster.com/tournaments/bassmaster-series-south-central-regional-bo
lake of the ozarks,lake ozark,missouri,October,October,8,8,2006,38.1986435,-92.6387968,https://www.bassmaster.com/tournaments/show-me-4-lake-ozark-bo
table rock lake,kimberling city,missouri,March,March,26,26,2006,36.6333962,-93.4168531,https://www.bassmaster.com/tournaments/show-me-1-kimberling-city-bo
richland chambers,corsicana,texas,June,June,11,11,2006,32.0954304,-96.46887269999999,https://www.bassmaster.com/tournaments/chaparral-central-tx-3-corsicana-bo
cedar creek,log cabin,texas,July,July,9,9,2006,32.2223716,-96.0219132,https://www.bassmaster.com/tournaments/chaparral-central-tx-4-log-cabin-bo
lake tawakoni,willis point,texas,April,April,9,9,2006,32.7092955,-96.0083018,https://www.bassmaster.com/tournaments/chaparral-central-tx-2-willis-point-bo
lake lewisville,lewisville,texas,March,March,19,19,2006,33.046233,-96.994174,https://www.bassmaster.com/tournaments/chaparral-central-tx-1-lewisville-bo
kentucky lake side,gilbertville,kentucky,April,April,2,2,2006,37.0244948,-88.3024934,https://www.bassmaster.com/tournaments/pioneer-1-gilbertville-bo
stockton lake,stockton,missouri,April,April,30,30,2006,37.6989279,-93.796044,https://www.bassmaster.com/tournaments/show-me-2-stockton-bo
tombigbee waterway,columbus,mississippi,May,May,22,22,2005,33.4956744,-88.4272627,https://www.bassmaster.com/tournaments/bassmaster-series-mississippi-4-bo
lake murray,prosperity,south carolina,June,June,19,19,2005,34.2093079,-81.5331602,https://www.bassmaster.com/tournaments/bassmaster-series-south-carolina-4
truman reservoir,warsaw,missouri,August,August,27,27,2006,38.2430811,-93.3818711,https://www.bassmaster.com/tournaments/show-me-3-warsaw-bo
ross barnett reservoir,ridgeland,mississippi,February,February,6,6,2005,32.4284761,-90.1323087,https://www.bassmaster.com/tournaments/bassmaster-series-mississippi-2-0
hudson river,catskill,new york,October,October,1,1,2006,42.21460709999999,-73.95949399999999,https://www.bassmaster.com/tournaments/patriot-4-catskill-bo
st. johns river,palatka,florida,January,January,30,30,2005,29.6485801,-81.6375819,https://www.bassmaster.com/tournaments/bassmaster-series-panhandle-1-0
lake guntersville,guntersville,alabama,March,March,12,12,2006,34.3581473,-86.29470409999999,https://www.bassmaster.com/tournaments/volunteer-1-guntersville-bo
lake of the ozarks,osage beach,missouri,September,September,25,25,2005,38.1503113,-92.61796210000001,https://www.bassmaster.com/tournaments/bassmaster-series-missouri-5-bo
table rock lake,kimberling city,missouri,April,April,10,10,2005,36.6333962,-93.4168531,https://www.bassmaster.com/tournaments/bassmaster-series-missouri-2-bo
table rock lake,kimberling city,missouri,June,June,5,5,2005,36.6333962,-93.4168531,https://www.bassmaster.com/tournaments/bassmaster-series-missouri-4-0
truman reservoir,clinton,missouri,May,May,8,8,2005,38.3686324,-93.7782689,https://www.bassmaster.com/tournaments/bassmaster-series-missouri-3-bo
lake norman,near charlotte,north carolina,March,March,17,20,2005,35.2270869,-80.8431267,https://www.bassmaster.com/tournaments/2005-tour-5
west point lake,lanett,alabama,June,June,23,25,2005,32.86873910000001,-85.1904971,https://www.bassmaster.com/tournaments/southern-open-1-0
lake guntersville,guntersville,alabama,September,September,22,24,2005,34.3581473,-86.29470409999999,https://www.bassmaster.com/tournaments/2005-southern-open-2
lake guntersville,guntersville,alabama,February,February,24,27,2005,34.3581473,-86.29470409999999,https://www.bassmaster.com/tournaments/2005-tour-3
lake lanier,gainesville,georgia,September,September,7,9,2006,34.2978794,-83.8240663,https://www.bassmaster.com/tournaments/2006-southern-tour-5
lake amistad,del rio,texas,April,April,10,13,2008,29.3708857,-100.8958674,https://www.bassmaster.com/tournaments/2008-elite-series-battle-border
lake champlain,plattsburgh,new york,July,July,13,16,2006,44.6994873,-73.4529124,https://www.bassmaster.com/tournaments/2006-elite-series-champions-choice
wheeler lake,decatur,alabama,October,October,18,20,2007,34.6059253,-86.9833417,https://www.bassmaster.com/tournaments/2007-southern-open-3
lake eufaula,eufaula,alabama,May,May,11,13,2006,31.8912717,-85.1454876,https://www.bassmaster.com/tournaments/2006-southern-tour-4
richard b. russell lake,elberton,georgia,November,November,14,16,1996,34.1112226,-82.8670839,https://www.bassmaster.com/tournaments/1996-georgia-bassmaster-top-100
kissimmee chain of lakes,kissimmee,florida,November,November,17,19,2005,28.2919557,-81.40757099999999,https://www.bassmaster.com/tournaments/2005-southern-open-3
lake amistad,del rio,texas,March,March,9,12,2006,29.3708857,-100.8958674,https://www.bassmaster.com/tournaments/2006-elite-series-battle-border
john h. kerr reservoir,henderson,north carolina,September,September,11,11,2005,36.3295905,-78.3991638,https://www.bassmaster.com/tournaments/bassmaster-series-virginianorth-carolina-5-bo
lake erie,sandusky,ohio,September,September,24,26,2009,41.4561754,-82.71168209999999,https://www.bassmaster.com/tournaments/2009-northern-open-3
center hill lake,silver point,tennessee,April,April,2,2,2006,36.0906167,-85.7297049,https://www.bassmaster.com/tournaments/volunteer-2-silver-point-bo
toledo bend reservoir,many,louisiana,February,February,21,24,2001,31.5687848,-93.4840645,https://www.bassmaster.com/tournaments/louisiana-top-150-pro-1
buggs island reservoir,henderson,north carolina,May,May,8,8,2005,36.3295905,-78.3991638,https://www.bassmaster.com/tournaments/bassmaster-series-virginianorth-carolina-bo
kerr reservoir,henderson,north carolina,April,April,3,3,2005,36.3295905,-78.3991638,https://www.bassmaster.com/tournaments/bassmaster-series-virginianorth-carolin-1
grand lake,grove,oklahoma,June,June,1,4,2006,36.5936863,-94.76911860000001,https://www.bassmaster.com/tournaments/2006-elite-series-sooner-run
grand lake,grove,oklahoma,September,September,17,17,2006,36.5936863,-94.76911860000001,https://www.bassmaster.com/tournaments/gloc-4-grove-bo
grand lake,grove,oklahoma,June,June,25,25,2006,36.5936863,-94.76911860000001,https://www.bassmaster.com/tournaments/gloc-3-grove-bo
grand lake,grove,oklahoma,May,May,21,21,2006,36.5936863,-94.76911860000001,https://www.bassmaster.com/tournaments/gloc-2-grove-bo
grand lake,grove,oklahoma,March,March,12,12,2006,36.5936863,-94.76911860000001,https://www.bassmaster.com/tournaments/gloc-1-grove-bo
grand lake,grove,oklahoma,March,March,13,13,2005,36.5936863,-94.76911860000001,https://www.bassmaster.com/tournaments/bassmaster-series-missouri-1-0
lake okeechobee,okeechobee,florida,October,October,16,18,2003,27.2439349,-80.82978279999999,https://www.bassmaster.com/tournaments/2003-southern-open-2
lake eufaula,eufala,alabama,November,November,6,8,2003,31.8912717,-85.1454876,https://www.bassmaster.com/tournaments/2003-southern-open-3
lake wheeler,decatur,alabama,September,September,25,27,2003,34.6059253,-86.9833417,https://www.bassmaster.com/tournaments/2003-southern-open-1
lake martin,alexander city,alabama,November,November,21,23,2002,32.944012,-85.9538532,https://www.bassmaster.com/tournaments/alabama-southern-pro-0
pickwick and wilson lakes,florence,alabama,October,October,24,26,2002,34.79981,-87.677251,https://www.bassmaster.com/tournaments/2002-southern-open-2
lake murray,columbia,south carolina,September,September,19,21,2002,34.0007104,-81.0348144,https://www.bassmaster.com/tournaments/2002-southern-open-1
lake martin,alexander city,alabama,December,December,1,4,1993,32.944012,-85.9538532,https://www.bassmaster.com/tournaments/1993-alabama-bassmaster-top-100
columbia river,kennewick,washington,October,October,11,13,2001,46.2086683,-119.119948,https://www.bassmaster.com/tournaments/2001-washington-western-open
lake shasta,shasta lake,california,October,October,21,23,2004,40.6804279,-122.3708419,https://www.bassmaster.com/tournaments/2004-western-open-2
pickwick lake,florence,alabama,March,March,6,6,2005,34.79981,-87.677251,https://www.bassmaster.com/tournaments/bassmaster-series-mississippi-2-2
clear lake,clearlake,california,October,October,23,25,2003,38.9582307,-122.6263728,https://www.bassmaster.com/tournaments/2003-western-open-2
columbia river,kennewick,washington,September,September,18,20,2003,46.2086683,-119.119948,https://www.bassmaster.com/tournaments/2003-western-open-1
clear lake,clearlake,california,April,April,25,27,2002,38.9582307,-122.6263728,https://www.bassmaster.com/tournaments/california-western-open-0
lake oroville,oroville,california,November,November,15,17,2001,39.5137752,-121.556359,https://www.bassmaster.com/tournaments/2001-california-western-open
california delta waterway,oakley,california,April,April,19,21,2001,37.9974219,-121.7124536,https://www.bassmaster.com/tournaments/california-invitational-4
buggs island reservoir,clarksville,virginia,June,June,5,7,1974,36.6240297,-78.55694489999999,https://www.bassmaster.com/tournaments/1974-virginia-invitational
pickwick and wilson lakes,florence,alabama,March,March,9,11,2000,34.79981,-87.677251,https://www.bassmaster.com/tournaments/alabama-invitational-13
lake martin,alexander city,alabama,December,December,2,4,1999,32.944012,-85.9538532,https://www.bassmaster.com/tournaments/alabama-invitational-12
lake okeechobee,okeechobee city,florida,January,January,20,22,2000,27.2439349,-80.82978279999999,https://www.bassmaster.com/tournaments/florida-invitational-17
st. lawrence river,clayton,new york,September,September,23,25,1999,44.2025064,-76.0826811,https://www.bassmaster.com/tournaments/new-york-invitational-10
watts bar reservoir,spring city,tennessee,May,May,1,3,1974,35.692015,-84.8607801,https://www.bassmaster.com/tournaments/1974-tennessee-invitational
california delta waterway,stockton,california,April,April,15,17,1999,37.9577016,-121.2907796,https://www.bassmaster.com/tournaments/california-invitational-0
lake eufaula,eufaula,alabama,August,August,23,25,1978,31.8912717,-85.1454876,https://www.bassmaster.com/tournaments/chapter-championship-4
sam rayburn reservoir,sam rayburn,texas,March,March,25,27,1987,31.0640841,-94.03574499999999,https://www.bassmaster.com/tournaments/1987-texas-invitational
lake texoma,durant,oklahoma,March,March,12,14,1998,33.9924186,-96.39712329999999,https://www.bassmaster.com/tournaments/oklahoma-invitational-3
mississippi river,la crosse,wisconsin,September,September,8,11,2016,43.8137751,-91.25190169999999,https://www.bassmaster.com/tournaments/bassmaster-elite-mississippi-river
lake of the ozarks,lake ozark,missouri,May,May,11,13,1995,38.1986435,-92.6387968,https://www.bassmaster.com/tournaments/missouri-invitational-7
sam rayburn reservoir,jasper,texas,February,February,16,18,1995,30.9201995,-93.9965759,https://www.bassmaster.com/tournaments/texas-invitational-11
lake livingston,onalaska,texas,November,November,3,5,1994,30.805746,-95.1163261,https://www.bassmaster.com/tournaments/texas-invitational-10
lake seminole,bainbridge,georgia,February,February,23,26,2000,30.9037995,-84.57546990000002,https://www.bassmaster.com/tournaments/2000-georgia-bassmaster-top-150
smith mountain lake,moneta,virginia,October,October,26,28,2006,37.1826516,-79.6195556,https://www.bassmaster.com/tournaments/2006-northern-tour-5
mississippi river,moline,illinois,May,May,17,20,1995,41.5067003,-90.51513419999999,https://www.bassmaster.com/tournaments/1995-illinois-bassmaster-top-100
lake tohopekaliga,kissimmee,florida,January,February,31,2,2013,28.2919557,-81.40757099999999,https://www.bassmaster.com/tournaments/2013-bass-pro-shops-southern-open-1
potomac river,charles county,maryland,August,August,11,14,2016,38.5221781,-77.10249019999999,https://www.bassmaster.com/tournaments/bassmaster-elite-potomac-river
cayuga lake,union springs,new york,June,June,23,26,2016,42.8397906,-76.6932818,https://www.bassmaster.com/tournaments/bassmaster-elite-cayuga-lake
lake texoma,durant,oklahoma,June,June,8,12,2016,33.9924186,-96.39712329999999,https://www.bassmaster.com/tournaments/2016-bassmaster-bassfest
wheeler lake,decatur,alabama,April,May,28,1,2016,34.6059253,-86.9833417,https://www.bassmaster.com/tournaments/bassmaster-elite-wheeler-lake
toledo bend,many,louisiana,May,May,12,15,2016,31.5687848,-93.4840645,https://www.bassmaster.com/tournaments/bassmaster-elite-toledo-bend
winyah bay,georgetown,south carolina,April,April,7,10,2016,33.376834,-79.2944964,https://www.bassmaster.com/tournaments/bassmaster-elite-winyah-bay
norfork and bull shoals,mountain home,arkansas,April,April,21,24,2016,36.3353949,-92.381346,https://www.bassmaster.com/tournaments/bassmaster-elite-bull-shoalsnorkfolk
st. johns river,palatka,florida,March,March,17,20,2016,29.6485801,-81.6375819,https://www.bassmaster.com/tournaments/bassmaster-elite-st-johns-river-0
lake st. clair,detroit,michigan,August,August,27,30,2015,42.331427,-83.0457538,https://www.bassmaster.com/tournaments/bassmaster-elite-lake-st-clair
chesapeake bay,cecil county,maryland,August,August,13,16,2015,39.5739403,-75.94632399999999,https://www.bassmaster.com/tournaments/bassmaster-elite-chesapeake-bay
red river,shreveport,louisiana,June,June,14,16,2018,32.5251516,-93.7501789,https://www.bassmaster.com/tournaments/2018-bass-pro-shops-central-open-3-red-river
logan martin lake,pell city,alabama,September,September,6,8,2018,33.5862149,-86.2860888,https://www.bassmaster.com/tournaments/2018-bass-pro-shops-central-open-4-logan-martin
ross barnett reservoir,ridgeland,mississippi,March,March,1,3,2018,32.4284761,-90.1323087,https://www.bassmaster.com/tournaments/2018-bass-pro-shops-central-open-1-ross-barnett
st. lawrence river,waddington,new york,July,August,30,2,2015,44.8644999,-75.20410190000001,https://www.bassmaster.com/tournaments/bassmaster-elite-st-lawrence-river
douglas lake,jefferson county,tennessee,June,June,2,4,2011,36.0417825,-83.46435509999999,https://www.bassmaster.com/tournaments/2011-bass-pro-shops-southern-open-3
kentucky lake,paris,tennessee,June,June,3,7,2015,36.3020023,-88.32671069999999,https://www.bassmaster.com/tournaments/bassmaster-bassfest-kentucky-lake
lake havasu,lake havasu city,arizona,May,May,7,10,2015,34.483901,-114.3224548,https://www.bassmaster.com/tournaments/bassmaster-elite-series-lake-havasu
sacramento river,sacramento,california,April,May,30,3,2015,38.5815719,-121.4943996,https://www.bassmaster.com/tournaments/bassmaster-elite-series-sacramento-river
lake guntersville,guntersville,alabama,April,April,9,12,2015,34.3581473,-86.29470409999999,https://www.bassmaster.com/tournaments/bassmaster-elite-lake-guntersville
lake ferguson,greenville,mississippi,August,August,20,20,2006,33.399661,-91.0377029,https://www.bassmaster.com/tournaments/big-river-3-greenville-bo
potomac river,charles county,maryland,August,August,21,23,1997,38.5221781,-77.10249019999999,https://www.bassmaster.com/tournaments/maryland-top-100-pro-1
santee cooper,manning,south carolina,March,March,25,28,2004,33.6951627,-80.2109134,https://www.bassmaster.com/tournaments/2004-bassmaster-tour-6
monroe reservoir,bloomington,indiana,May,May,7,7,2006,39.165325,-86.52638569999999,https://www.bassmaster.com/tournaments/indy-2-bloomington-bo
monroe reservoir,bloomington,indiana,April,April,9,9,2006,39.165325,-86.52638569999999,https://www.bassmaster.com/tournaments/indy-1-bloomington-bo
sabine river,orange,texas,March,March,19,22,2015,30.0929879,-93.7365549,https://www.bassmaster.com/tournaments/bassmaster-elite-sabine-river
kissimmee chain of lakes,kissimmee,florida,December,December,12,15,2001,28.2919557,-81.40757099999999,https://www.bassmaster.com/tournaments/2001-florida-tour
kissimmee chain of lakes,kissimmee,florida,January,January,17,20,2001,28.2919557,-81.40757099999999,https://www.bassmaster.com/tournaments/florida-top-150-pro-1
kissimmee chain of lakes,kissimmee,florida,January,January,13,16,1999,28.2919557,-81.40757099999999,https://www.bassmaster.com/tournaments/1999-florida-bassmastertop-150
clarks hill lake,evans,georgia,April,April,19,22,2007,33.5337464,-82.1306747,https://www.bassmaster.com/tournaments/2007-elite-series-pride-georgia
oneida lake,syracuse,new york,August,August,7,10,2008,43.0481221,-76.14742439999999,https://www.bassmaster.com/tournaments/2008-elite-series-champions-choice
douglas lake,sevierville,tennessee,May,May,8,13,2001,35.8681455,-83.56183500000002,https://www.bassmaster.com/tournaments/megabucks-pro-1
sam rayburn reservoir,sam rayburn,texas,September,September,3,5,2009,31.0640841,-94.03574499999999,https://www.bassmaster.com/tournaments/2009-central-open-2
lake erie/niagara river tributaries,buffalo,new york,July,August,31,3,2008,42.88644679999999,-78.8783689,https://www.bassmaster.com/tournaments/2008-elite-series-empire-chase
table rock lake,branson,missouri,October,October,20,22,2011,36.6436731,-93.21851439999999,https://www.bassmaster.com/tournaments/2011-bass-pro-shops-central-open-3
old hickory lake,hendersonville,tennessee,June,June,26,29,2008,36.3047735,-86.6199957,https://www.bassmaster.com/tournaments/2008-elite-series-tennessee-triumph
table rock lake,kimberling city,missouri,March,March,25,27,1999,36.6333962,-93.4168531,https://www.bassmaster.com/tournaments/missouri-invitational-10
kentucky lake,gilbertsville,kentucky,June,June,12,15,2008,37.0244948,-88.3024934,https://www.bassmaster.com/tournaments/2008-elite-series-bluegrass-brawl
wheeler lake,decatur,alabama,June,June,5,8,2008,34.6059253,-86.9833417,https://www.bassmaster.com/tournaments/2008-elite-series-southern-challenge
sam rayburn reservoir,jasper,texas,March,March,16,19,2006,30.9201995,-93.9965759,https://www.bassmaster.com/tournaments/2006-elite-series-lone-star-shootout
falcon lake,zapata,texas,April,April,3,6,2008,26.9072605,-99.27142549999999,https://www.bassmaster.com/tournaments/2008-elite-series-lone-star-shootout
tennessee-tombigbee waterway,columbus,mississippi,August,August,21,23,2003,33.4956744,-88.4272627,https://www.bassmaster.com/tournaments/2003-central-open-1
lake of the ozarks,osage beach,missouri,November,November,4,6,1999,38.1503113,-92.61796210000001,https://www.bassmaster.com/tournaments/missouri-invitational-11
grand lake,grove,oklahoma,March,March,19,19,2006,36.5936863,-94.76911860000001,https://www.bassmaster.com/tournaments/jayhawk-1-grove-bo
table rock lake,kimberling city,missouri,April,April,6,8,2000,36.6333962,-93.4168531,https://www.bassmaster.com/tournaments/missouri-invitational-12
lake of the ozarks,osage beach,missouri,November,November,5,7,1998,38.1503113,-92.61796210000001,https://www.bassmaster.com/tournaments/missouri-invitational-9
sam rayburn reservoir,jasper,texas,February,February,18,20,1999,30.9201995,-93.9965759,https://www.bassmaster.com/tournaments/texas-invitational-14
eldorado lake,eldorado,kansas,October,October,1,1,2006,37.81724,-96.8622524,https://www.bassmaster.com/tournaments/jayhawk-4-eldorado-bo
wilson lake,wilson,kansas,September,September,10,10,2006,38.8250106,-98.4753437,https://www.bassmaster.com/tournaments/jayhawk-3-wilson-bo
milford lake,junction city,kansas,April,April,9,9,2006,39.0286093,-96.83139779999999,https://www.bassmaster.com/tournaments/jayhawk-2-junction-city-bo
lake guntersville,guntersville,alabama,October,October,12,17,1992,34.3581473,-86.29470409999999,https://www.bassmaster.com/tournaments/1992-bassmaster-megabucks
lake powell,page,arizona,April,April,11,13,1990,36.91472220000001,-111.4558333,https://www.bassmaster.com/tournaments/1990-arizona-invitational
harris chain of lakes,leesburg,florida,February,February,15,20,1988,28.810823,-81.87785819999999,https://www.bassmaster.com/tournaments/megabucks-0
lake martin,alexander city,alabama,February,February,11,13,1999,32.944012,-85.9538532,https://www.bassmaster.com/tournaments/alabama-invitational-11
harris chain of lakes,leesburg,florida,February,February,12,17,1990,28.810823,-81.87785819999999,https://www.bassmaster.com/tournaments/1990-bass-megabucks-0
bull shoals lake,bull shoals,arkansas,April,April,13,15,1988,36.383956,-92.58155269999999,https://www.bassmaster.com/tournaments/1988-arkansas-invitational-0
west point lake,lagrange,georgia,October,October,14,16,1987,33.0362218,-85.0322444,https://www.bassmaster.com/tournaments/1987-georgia-invitational
sam rayburn reservoir,sam rayburn,texas,March,March,19,21,1986,31.0640841,-94.03574499999999,https://www.bassmaster.com/tournaments/1986-texas-invitational
lake okeechobee,clewiston,florida,May,May,3,5,1984,26.7542312,-80.93367529999999,https://www.bassmaster.com/tournaments/florida-invitational-9
cherokee lake,morristown,tennessee,September,September,11,11,2005,36.2139814,-83.29489219999999,https://www.bassmaster.com/tournaments/bassmaster-series-tennessee-5-bo
watts bar reservoir,spring city,tennessee,May,May,22,22,2005,35.692015,-84.8607801,https://www.bassmaster.com/tournaments/bassmaster-series-tennessee-3-bo
douglas lake,sevierville,tennessee,June,June,5,5,2005,35.8681455,-83.56183500000002,https://www.bassmaster.com/tournaments/bassmaster-series-tennessee-4
chickamauga lake,dayton,tennessee,March,March,20,20,2005,35.4939587,-85.01245349999999,https://www.bassmaster.com/tournaments/bassmaster-series-tennessee-1
st. lawrence river,byrdstown,tennessee,April,April,17,17,2005,36.5745104,-85.1288435,https://www.bassmaster.com/tournaments/bassmaster-series-tennessee-2-bo
bayou segnette,westwego,louisiana,April,April,10,10,2005,29.9060388,-90.14229619999999,https://www.bassmaster.com/tournaments/bassmaster-series-louisiana-2-bo
tombigbee waterway,columbus,mississippi,October,October,13,15,2005,33.4956744,-88.4272627,https://www.bassmaster.com/tournaments/bassmaster-series-regionals-1-bo
grand lake,st. mary's,ohio,April,April,30,30,2006,40.5422697,-84.38939610000001,https://www.bassmaster.com/tournaments/ohio-valley-2-st-marys-bo
lake wheeler,decatur,alabama,March,March,3,6,1999,34.6059253,-86.9833417,https://www.bassmaster.com/tournaments/1999-alabama-bassmaster-top-150
logan martin lake,pell city,alabama,October,October,21,24,1998,33.5862149,-86.2860888,https://www.bassmaster.com/tournaments/1998-alabama-bassmaster-top-150
old hickory lake,hendersonville,tennessee,October,October,17,19,1996,36.3047735,-86.6199957,https://www.bassmaster.com/tournaments/1996-tennessee-bassmaster-top-100
lake st. clair,mt. clemens,michigan,August,August,24,27,1994,42.5972563,-82.8779754,https://www.bassmaster.com/tournaments/1994-michigan-bassmaster-top-100
potomac river,charles county,maryland,September,September,22,25,1993,38.5221781,-77.10249019999999,https://www.bassmaster.com/tournaments/md-top-100-pro-div-0
lake lanier,suwanee,georgia,December,December,2,5,1992,34.0514898,-84.0712997,https://www.bassmaster.com/tournaments/1992-georgia-bassmaster-top-100
potomac river,charles county,maryland,September,September,23,26,1992,38.5221781,-77.10249019999999,https://www.bassmaster.com/tournaments/1992-maryland-bassmaster-top-100
lake erie/niagara river tributaries,buffalo,new york,July,July,19,22,2007,42.88644679999999,-78.8783689,https://www.bassmaster.com/tournaments/2007-elite-series-empire-chase
lake champlain,plattsburgh,new york,July,July,12,15,2007,44.6994873,-73.4529124,https://www.bassmaster.com/tournaments/2007-elite-series-champions-choice
